sta_code,sku_code,长(CM),宽(CM),高(CM),qty
ODO1694002803264542,DM1122-501,35.2,22.6,11.4,1
ODO1694002354969754,FQ6991-274,15.6,11.6,2.3,1
ODO1694002354969754,FQ6991-274,15.6,11.6,2.3,1
ODO1694002354969754,DX4334-008,30,21.4,11.6,1
ODO1694010113499500,DH9394-800,25,19,9.4,1
ODO1694010113499500,HA6950-100,34.2,22,3.2,1
TBBJ2309059961,DV5304-010,36.6,25.8,3,1
TBBJ2309059961,FQ0764-010,50,38,2,1
TBBJ2309059961,FJ6787-011,49,41.5,6,1
TBNK2309263547,DV1296-010,50,39,4,1
TBNK2309263547,DR8786-001,34.4,23.2,12.2,1
TBNK2309328961,DZ7314-010,10.7,7.8,3.3,2
TBNK2309328961,FB3354-001,35.4,24.2,13,1
TBNK2309333203,AR5007-011,37,29,1,1
TBNK2309333203,AR5007-100,26,15.6,3.2,1
TBNK2309333203,BV1358-002,32.1,21.6,15.9,1
TBNK2309337181,DC4769-102,30,18.6,10.8,1
TBNK2309337181,DX7911-100,38,29,1.1,1
TBNK2309337181,DX7911-100,37,28,1.1,1
TBNK2309337181,DX7911-100,37,29,1,1
ODO1694009393544173,FD6637-100,38,30,0.85,1
ODO1694009393544173,FJ7687-101,33,21,13,1
ODO1694280349850979,DB9976-010,38.5,29,1,1
ODO1694280349850979,DD1503-103,34,22,11.4,1
ODO1694280349850979,DV9832-010,31,25,1.7,1
ODO1694280349850979,DX9564-010,38,29,1,1
TBNK2309106072,DV0788-101,34,22.8,11.8,2
TBNK2309106072,DD0559-010,49,38,2.5,1
TBNK2309157576,DX6019-308,34.8,33.8,2.3,1
TBNK2309157576,FB7173-131,30,18.8,10.4,1
TBNK2309157576,DX6019-491,41.5,31,1.2,1
TBNK2309157576,DZ2537-100,32.9,21.5,12,1
TBNK2309157576,FB5271-536,28.3,26.8,4,1
TBNK2309276148,BV1094-610,19.6,13.4,8,1
TBNK2309276148,DB9976-010,38.5,29.5,1,1
TBNK2309276148,DV9076-410,60,39,1.5,1
ODO1694005614329469,FD5013-252,6,9.6,5.4,1
ODO1694005614329469,DH3438-405,23.4,17.6,9,1
ODO1694162509510193,SX7676-100,29,20,9.5,1
ODO1694162509510193,DD8959-100,30.4,19.4,10.6,1
TBNK2309113759,FD4116-001,33.6,21.4,11.6,1
TBNK2309113759,DX0157-010,36,28,1.7,1
TBNK2309113759,DX0881-010,36,29,2.5,1
TBNK2309113759,DX0818-010,32,24.2,2,1
TBBJ2309022630,DX9655-100,57.2,39.1,8.6,1
TBBJ2309022630,FQ1154-100,34.8,24.6,12.6,1
TBNK2309342524,DV3956-014,21,13.5,6.5,1
TBNK2309342524,DD9291-102,30.1,18.9,10.6,3
ODO1694002132492640,HA5507-100,37.8,13.2,4.4,1
ODO1694002132492640,DX4397-103,31.8,23.4,12.2,1
ODO1694002132492640,DX4397-103,31.8,23.4,12.2,1
ODO1694004057909713,DV5304-219,36.6,23.2,4.6,1
ODO1694004057909713,DV5304-219,36.6,23.2,4.6,1
ODO1694004057909713,DN1856-002,32.8,18.8,13.2,1
ODO1694004057909713,DN1856-002,32.8,18.8,13.2,1
ODO1694004057909713,DV5304-219,36.6,23.2,4.6,1
TBNK2309126784,FB7498-010,34.5,34,4,1
TBNK2309126784,DA7245-011,34.41,23.44,12.07,1
TBBN2309072115,DV1296-010,50,39,4,1
TBBN2309072115,DX4399-106,30.3,22.3,12,1
TBNK2309340020,DJ5635-600,33.8,20.8,11.4,2
TBNK2309340020,CU6776-010,35.5,28.5,2.8,1
TBNK2309342929,DX2294-400,31,21.6,11.4,1
TBNK2309342929,CU6776-010,35.5,28.5,2.8,1
TBNK2309342929,DR8786-001,34.4,23.2,12.2,1
TBNK2309342929,DD2795-011,28,24,5.2,1
ODO169401209087572,FV2860-133,26,13,0.5,1
ODO169401209087572,FV2551-237,10.7,6.5,3.21,1
ODO169401209087572,FV2856-133,32,13,6,1
ODO169401209087572,FZ6214-480,12.9,10,3.41,1
ODO169405343077623,DX9522-480,25,12,1,1
ODO169405343077623,FD3193-450,37,29,0.5,1
ODO169405343077623,819352-001,32,12.5,10,1
TBNK2309163825,SX4863-010,25,17.8,7.2,1
TBNK2309163825,DD9682-100,33.2,21,11.4,2
ODO1694019830129351,FV2719-618,9.1,6.6,3.8,1
ODO1694019830129351,FQ0706-010,33.5,21.3,5,1
ODO1694019830129351,FV5782-010,7.7,6.5,3.3,1
ODO1694019830129351,FV2719-305,26,13,0.5,1
ODO1694008918779428,DV5477-600,34.7,23.4,12.1,1
ODO1694008918779428,SX7676-100,35.2,26.7,6.2,1
ODO1694008918779428,DV5477-600,34.4,23.2,12.2,1
ODO1694008918779428,DV5477-600,33.6,20.6,11.4,1
TBNK2309120760,DQ8426-301,31.8,23,12,1
TBNK2309120760,DM6184-010,38,30,2,1
TBNK2309122316,FB7805-010,37,31.5,2.5,1
TBNK2309122316,FB7805-100,31.8,25.3,4,1
TBNK2309122316,DM2845-100,33.3,20.5,11.1,1
TBNK2309159795,DX9655-010,26,11,6,1
TBNK2309159795,FN7807-100,29.9,22.3,12,1
TBNK2309213864,DV9168-010,39,30,0.6,1
TBNK2309213864,943826-501,23.6,16.4,9.2,1
TBNK2309213864,DD0627-349,30,25,0.8,1
TBNK2309213864,943826-403,24.6,19,9.6,1
TBNK2309213864,CK0509-010,27,24,3.2,1
TBNK2309332405,FJ7725-100,38,30,1.3,1
TBNK2309332405,DM0211-002,33.6,20.6,11.4,1
TBNK2309332405,FJ7725-100,39.5,31,1.3,1
ODO1694008986500499,HA5507-100,37.8,13.2,4.4,1
ODO1694008986500499,DX4397-103,32,22.8,12,1
ODO1694008986500499,HA5507-100,37.8,13.2,4.4,1
ODO1694008986500499,HA5507-100,37.8,13.2,4.4,1
ODO1694008986500499,DV5304-219,36.6,23.2,4.6,1
ODO1694017731717773,SX5854-010,24.2,11.6,8.4,1
ODO1694017731717773,DH3392-100,34.5,23.3,12.3,1
ODO1694004114346903,DV5304-219,36.6,23.2,4.6,1
ODO1694004114346903,DX4397-103,31.8,23.4,12.2,1
ODO1694004114346903,DV5304-219,36.6,23.2,4.6,1
ODO1694004114346903,DV5304-219,36.6,23.2,4.6,1
ODO1694004114346903,DV5304-219,36.6,23.2,4.6,1
ODO1694004114346903,DV5304-219,36.6,23.2,4.6,1
ODO1694004114346903,DV5304-219,36.6,23.2,4.6,1
ODO1694004114346903,DV5304-219,36.6,23.2,4.6,1
ODO1694004114346903,DV5304-219,36.6,23.2,4.6,1
TBNK2309114215,FB5516-121,26,13,0.5,1
TBNK2309114215,CU7199-735,24.8,19.2,2,1
TBNK2309114215,CK6366-063,38,28,3.6,1
TBNK2309114215,FJ1046-100,36.2,23.2,12.6,1
TBNK2309114215,FB7004-010,37.5,26.5,3,1
TBNK2309270972,AR6030-063,39,29,1.4,1
TBNK2309270972,DX3566-010,37.2,27.5,12,1
TBNK2309270972,DM0211-002,33.6,20.6,11.4,1
ODO1694276450643299,FB9767-386,38,30.5,2,1
ODO1694276450643299,FB9767-386,37.5,30.7,2,1
ODO1694276450643299,CN9678-008,33.2,12.8,11.8,1
ODO1694276450643299,FQ7005-131,33.2,12.8,11.8,1
TBBN2309029803,DV9000-001,25.1,19.8,15.2,1
TBBN2309029803,CK0509-091,26,23,2.5,1
TBBN2309029803,DX5223-410,30.5,22,0.9,1
TBBN2309029803,CK0509-010,26,23,2.5,1
TBBN2309043203,FV2672-010,7.4,5,4.1,1
TBBN2309043203,FV2693-410,26,13,0.5,1
TBBN2309043203,FQ1525-100,23,17,3,1
TBBN2309043203,FV3049-247,26,13,0.5,1
TBNK2309338711,DB0490-010,41.5,15,2,1
TBNK2309338711,BV1358-002,32.1,21.6,15.9,1
ODO1694018150035379,FZ6155-480,11.4,10.7,3.2,1
ODO1694018150035379,FV3227-010,26,26,1.2,1
ODO1694018150035379,FV3262-100,10.5,6.5,4.5,1
TBNK2309085051,CV0063-838,54,37,3.8,1
TBNK2309085051,FJ7745-181,30,18.8,10.4,1
TBNK2309132433,CZ8529-010,27,25,2,1
TBNK2309132433,DV4348-100,29.8,18.4,10.4,1
TBNK2309132927,DB0490-010,41.5,15,2,1
TBNK2309132927,DV4022-003,33.6,20.6,11.4,1
ODO1694008919629484,BV2667-063,26,13,0.5,1
ODO1694008919629484,394053-101,30,18.8,10.5,1
ODO1694008919629484,BV2667-010,38,28,3,1
ODO169401029186290,DD2795-103,28,24,5.2,1
ODO169401029186290,DD2795-103,28,24,5.2,1
ODO169401029186290,DD2795-504,28,24,5.2,1
ODO169401029186290,DJ6013-104,34.4,23.2,12.2,1
ODO1694241710308411,DM4104-063,22,15.2,4.4,1
ODO1694241710308411,AR4162-100,20.8,14.6,8.2,1
ODO1694241710308411,AR4162-105,21.8,16.2,9,1
TBBN2309031451,FD2992-010,10.7,9.6,4,1
TBBN2309031451,FB2355-001,26.4,20.4,10,1
TBNK2309194885,FB7179-100,34.3,23,11.7,1
TBNK2309194885,AR5007-410,38,30,1,1
TBNK2309194885,AR5005-386,38,29,1.1,1
TBNK2309194885,AR5007-100,26,15.6,3.2,1
TBNK2309337769,FN3430-180,35.2,24.2,13,1
TBNK2309337769,CU6776-010,38,28.5,2.8,1
TBNK2309337769,CU6776-010,35.5,28.5,2.8,1
ODO1694002207630937,DV5304-219,36.6,23.2,4.6,1
ODO1694002207630937,DV5304-219,36.6,23.2,4.6,1
ODO1694002207630937,DX4397-103,32,23.4,12.2,1
ODO1694002207630937,DX4397-103,32,23.4,12.2,1
ODO1694002207630937,DX4397-103,32,23.4,12.2,1
ODO1694270452099618,DH4058-011,29,19.5,5.8,1
ODO1694270452099618,DN1771-106,34.6,24.6,12.6,1
ODO1694122129478958,AV3171-100,31,21.6,11.4,1
ODO1694122129478958,DQ8832-010,29,20,1,1
ODO1694122129478958,DQ8832-010,29,20,1,1
ODO1694122129478958,DQ8832-010,29,20,1,1
ODO1694277770224383,BV2663-479,37.5,27.5,3.8,1
ODO1694277770224383,FB3354-001,32.5,20.9,14,1
ODO1694277770224383,BV2663-479,38,27,4.4,1
ODO1694277770224383,FB3354-001,32.5,20.9,14,1
ODO1694275190872386,BQ4632-501,33.2,12.8,11.8,1
ODO1694275190872386,DR6297-100,31,28,1.8,1
ODO1694275190872386,FB8120-479,31.7,28.7,1,1
ODO1694275190872386,FD0064-113,29,27,1.1,1
ODO1694275190872386,FD0064-010,30,27.2,1,1
ODO1694020130943281,DX6822-010,38,16.5,1.5,1
ODO1694020130943281,DD0627-010,51.8,41.9,6.7,1
ODO1694020130943281,CZ8533-010,27,24,2.8,1
ODO1694020130943281,DJ6257-004,30.4,19.4,10.6,1
ODO1694094169345636,DV0788-101,34.2,23.4,12,1
ODO1694094169345636,DN3592-010,49,40,5.9,1
ODO1694094169345636,DV0788-101,34.2,23.4,12,1
ODO1694099449945190,DV1403-001,34.3,23,11.7,1
ODO1694099449945190,DV8810-025,41,32,2,1
TBNK2309163881,DV7210-001,33.6,20.6,11.4,1
TBNK2309163881,SX7677-100,31,26,6,1
TBNK2309163881,DM6334-289,49.5,39.2,6,1
TBBN2309036496,FV3049-247,26,13,0.5,1
TBBN2309036496,DV9106-411,24.4,18.2,10,1
TBBN2309036496,FN3693-180,23.5,17.5,9,1
ODO1694002370270493,CU6776-010,34,28,2.8,1
ODO1694002370270493,CU6776-010,34,28,2.8,1
ODO1694002370270493,DD0204-001,34.2,20.8,12.2,1
ODO1694002370270493,DD0204-001,34.2,20.8,12.2,1
ODO1694017369806103,DV1296-010,50,39,4,1
ODO1694017369806103,DV5477-401,34.4,23.2,12.2,1
ODO1694017369806103,DV5477-401,33.6,20.6,11.4,1
ODO1694012032609789,DD2795-011,29.5,28,4.5,1
ODO1694012032609789,FQ6859-201,34.1,24,12,1
TBNK2309148850,DR2615-101,34.6,22.9,11.6,1
TBNK2309148850,SX4863-010,23,17.2,7.2,1
TBNK2309148850,DJ6945-003,33.6,20.6,11.4,1
TBNK2309323707,DM0211-001,33.5,20.8,11.7,1
TBNK2309323707,FB5516-121,26,13,0.5,1
TBNK2309323707,AR5007-100,38,30,1,1
TBNK2309323707,BV2763-010,35,27,2,1
ODO1694259530404400,BV2667-063,37.5,29.6,2.3,1
ODO1694259530404400,DV0834-100,33.4,21,11.4,1
ODO1694259530404400,BV2667-063,37.5,29.6,2.3,1
TBBN2309024779,DR1364-010,30,21,1.2,1
TBBN2309024779,DD8428-010,37,26,0.7,1
TBBN2309024779,FZ6214-011,11.2,6.8,4.21,1
TBBN2309024779,FD0928-100,28.2,25.5,2,1
TBNK2309343295,DZ2882-010,55.6,45.2,4.9,1
TBNK2309343295,DN5241-254,38.5,29,1.3,1
TBNK2309343295,BQ4632-010,33.2,12.8,11.8,1
TBNK2309343295,BQ4632-011,33.2,12.8,11.8,1
ODO1694129929596276,DD9535-007,33.6,23.8,12,1
ODO1694129929596276,AR4999-686,28,24.5,1.2,1
ODO1694129929596276,DD9535-007,33.6,23.8,12,1
ODO1694131190369168,CK6366-010,37,28.5,3.6,1
ODO1694131190369168,DV0788-101,33.4,20.8,11.4,1
TBNK2309259369,DD1238-100,38,29,1,1
TBNK2309259369,DV2019-101,33.6,20.6,11.4,1
TBBJ2309051344,DX9655-909,32.5,31,9,1
TBBJ2309051344,FN8902-161,29.7,22.7,12,1
ODO1694021270195210,DQ0577-100,26.3,21.2,12,1
ODO1694021270195210,DX7665-902,35.6,32.322,8.555,1
ODO1694021270195210,FB2357-100,26.4,20.4,10,1
ODO1694016169765571,SX7676-100,30.2,28,10,1
ODO1694016169765571,DV3853-100,36.2,23.2,12.6,1
TBNK2309134505,FB3290-901,30,29,13,1
TBNK2309134505,DH9394-800,27.8,21.8,10.4,1
ODO169400975197480,DV0831-001,33.6,20.7,13.8,1
ODO169400975197480,DJ9678-225,52,37,5.5,1
TBNK2309175676,DH9522-001,33.6,20.6,11.4,1
TBNK2309175676,DM6620-011,38,31,1.4,1
TBNK2309175676,FD0820-100,30.2,18.3,13.2,1
TBNK2309338072,DM3493-002,32.4,17.7,11.8,3
TBNK2309338072,DM1828-010,9.3,6.2,3.1,1
ODO1694009392616116,DV1296-010,50,39,4,1
ODO1694009392616116,CW2288-001,34.5,21,12,1
ODO16942513115607,FV3527-010,13.9,10,4.1,1
ODO16942513115607,AV1243-105,26.5,21,10,1
TBNK2309343080,FB9808-783,40,29,1.2,1
TBNK2309343080,DV0834-100,33.4,21,11.4,1
TBNK2309343080,DB3811-010,37.1,35.2,2.3,1
TBNK2309343080,DX0503-063,39,29,2.4,1
ODO1694274409949754,FB3354-001,33.2,20.8,11.5,1
ODO1694274409949754,BV2663-479,37,27,4.1,1
ODO1694274409949754,BV2663-479,37,27,4.1,1
ODO1694281430443479,BV2663-479,37.5,27.5,3.8,1
ODO1694281430443479,DD8959-001,33,20.4,11.2,1
ODO1694010531790657,AR8836-102,34.41,23.44,12.07,1
ODO1694010531790657,SX7676-100,29,26,10,1
ODO1694010531790657,DQ5708-313,26.5,34,2,1
ODO1694010531790657,SX7676-100,29,26,10,1
ODO1694010531790657,CV1898-030,38,28,2.3,1
ODO1694002213238161,DX9786-100,54.5,41,5.5,1
ODO1694002213238161,CW2288-001,34.5,23.5,12,1
ODO1694002213238161,CK2668-309,52,38,6.2,1
ODO1694014309973396,DD9682-100,30.8,21.8,11.4,1
ODO1694014309973396,DM6180-010,41.5,30,1.1,1
TBNK2309148616,DV9331-276,38.6,31.2,5,1
TBNK2309148616,DV9816-010,36,28,0.9,1
TBNK2309148616,DV9858-068,38,28,1,1
TBNK2309148616,AR6030-063,30,25,1.2,1
TBNK2309148616,553558-030,31.8,23,12.2,1
TBNK2309152469,SP0040-009,29.2,15,1.2,1
TBNK2309152469,FQ6868-181,34.1,23.8,12,1
ODO1694019530962375,DV5477-401,33.5,20.8,11.7,1
ODO1694019530962375,DV1296-010,50,39,4,1
ODO1694019530962375,DV5477-401,33.5,20.8,11.7,1
ODO1694253652739869,FQ0763-045,40,27,1.2,1
ODO1694253652739869,FJ6777-010,21.5,11,3.6,1
ODO1694269489822357,CU6776-010,38,28.5,2.8,1
ODO1694269489822357,DJ3624-002,35.4,24.2,13,1
ODO1694269489822357,CU6776-010,38,28.5,2.8,1
ODO1694269489822357,CU6776-010,38,28.5,2.8,1
ODO1694269489822357,CU6776-010,38,28.5,2.8,1
ODO1694269489822357,CU6776-010,38,28.5,2.8,1
TBNK2309280958,DN0588-925,18.6,5.2,0.3,1
TBNK2309280958,DR5670-300,33.3,20.5,11.1,1
TBNK2309342354,BV2667-063,37.5,29.6,2.3,2
TBNK2309342354,FB3354-001,33.7,23,14.6,1
ODO1694002750066995,DR6091-078,13,10.4,3.8,1
ODO1694002750066995,CW2288-001,34,21,12,1
ODO1694002750066995,DR6091-078,13,10.4,3.8,1
ODO1694008978521294,DH3160-103,33,20.5,14.1,1
ODO1694008978521294,DO7391-133,40,28.8,1.22,1
ODO1694008978521294,FB9948-902,27.7,23.9,19.3,1
ODO1694021449693106,DR1364-451,30,23,1.2,1
ODO1694021449693106,DO2033-480,37,27,1.5,1
ODO1694021449693106,FQ3660-100,29,25,1,1
ODO1694021449693106,BQ5451-007,23.9,17.1,9.5,1
ODO1694021449693106,FD3990-010,20,12,4,1
TBNK2309134507,AR4999-101,10.3,5.9,3.5,1
TBNK2309134507,FJ5429-133,34,21,11.6,1
TBNK2309158592,AR5005-010,37,29,0.75,1
TBNK2309158592,DD9682-100,33.2,21,11.4,3
TBNK2309220138,DX7911-010,38,29,1.1,1
TBNK2309220138,DX0949-519,56.4,39.5,5.1,1
TBNK2309220138,DX0850-010,38,29,1.6,1
TBNK2309220138,DV3853-100,33.2,21,11.4,1
TBNK2309220138,DV3854-101,34.2,20,11,1
TBNK2309220138,DM7028-010,54.2,38.9,7.1,1
TBBJ2309059944,DV5304-010,36.6,25.8,3,1
TBBJ2309059944,FD7674-001,32.2,16.4,13.3,1
ODO1694180631130722,DQ7510-277,38.5,28.5,2.1,1
ODO1694180631130722,DX1978-100,35.1,24.4,12,1
ODO169424489074419,FJ7743-194,33.3,20.5,14.5,1
ODO169424489074419,DV7798-010,32.6,27,4,1
ODO169424489074419,FB5449-010,32,25,1.2,1
ODO1694023070004921,DD9304-007,34.4,23.2,12.2,1
ODO1694023070004921,FV2490-091,25,19.5,0.84,1
ODO1694023070004921,FV2490-010,11.2,10.9,3.2,1
ODO1694023070004921,DD9304-007,34.7,23.4,12.1,1
TBNK2309269290,HA6950-100,34.2,22,3.2,1
TBNK2309269290,CW2288-111,34,21,12,1
TBNK2309097249,FB7805-010,39,30.2,2.5,1
TBNK2309097249,FN8902-161,29.5,22,12,1
TBNK2309126682,BV2667-010,26,13,0.5,1
TBNK2309126682,DV1160-100,30,19,10.5,1
TBNK2309137605,AJ1889-494,29,22,1,1
TBNK2309137605,FQ3657-100,26,22,0.8,1
TBNK2309171238,FB7805-010,39.2,31,2.6,1
TBNK2309171238,DD9682-100,29.8,21.2,10.4,1
TBNK2309171238,DM6184-010,34,30,1.9,1
TBNK2309339025,DD4747-010,26,13,0.5,1
TBNK2309339025,DR8786-001,34.4,23.2,12.2,1
TBNK2309339407,SP0040-009,29,13.8,3.8,1
TBNK2309339407,CZ2959-400,21,21.8,12.5,2
TBNK2309339407,AR5005-386,38,29,1,1
ODO1694009036914463,FQ0755-068,18.6,15,6.4,1
ODO1694009036914463,FJ6570-010,20.5,8.5,3.1,1
ODO1694009036914463,DR9994-113,28,23.6,5.2,1
ODO1694275069422823,DD0431-100,36.5,20,2,1
ODO1694275069422823,DV8023-133,38,30,1.6,1
ODO1694275069422823,DV8023-010,38,30,1.6,1
ODO1694275069422823,DD0431-010,36.5,20,2,1
ODO1694275069422823,CK2351-101,29.8,19.2,10.8,1
TBNK2309210940,DV9737-010,52.2,43.2,7.4,1
TBNK2309210940,DV4345-040,32.8,21.6,12,1
TBNK2309210940,DV4345-040,32.7,21.2,12,1
TBNK2309325362,BQ3729-100,39,30,1,1
TBNK2309325362,DV2436-001,34.9,23.3,14.7,1
TBNK2309325362,AV4352-451,37.5,28.5,1,1
ODO1694021690789691,DH4058-302,30,23.5,5,1
ODO1694021690789691,DV5477-401,34.4,23.2,12.2,1
ODO1694021690789691,DV5477-401,34.4,23.2,12.2,1
ODO1694182430924303,DO2024-658,32,23,2,1
ODO1694182430924303,BV1094-001,20.8,14.6,2,1
ODO169427615019916,CZ2959-400,21,21.8,12.5,1
ODO169427615019916,CU6776-010,36,27.5,2.8,1
ODO169427615019916,CZ2959-400,21,21.8,12.5,1
TBBN2309018459,FJ7687-101,30.1,21.1,13,1
TBBN2309018459,DN3592-010,49,40,5.9,1
TBNK2309113001,DM4623-017,30,21,0.5,1
TBNK2309113001,DR2615-101,36.2,23.2,12.6,1
TBNK2309196140,DM0211-001,33.5,21.1,11.6,1
TBNK2309196140,DQ5821-010,35,29,2.6,1
ODO1694010113624506,DR6091-078,13,10.4,3.8,1
ODO1694010113624506,DJ6013-104,36.8,24.8,13.8,1
ODO1694243989833340,FD3990-010,20,12,4,1
ODO1694243989833340,DV7480-001,14.9,10.3,6.5,1
ODO1694243989833340,FJ2958-324,36.5,31,1.2,1
TBNK2309091029,BV1358-002,33,21.6,16.2,1
TBNK2309091029,DB0490-010,41.5,15,2,3
TBBJ2309021335,FB5138-031,34.3,32.3,5,1
TBBJ2309021335,DV0426-012,32.4,22.8,12,1
TBBJ2309021335,DZ4437-010,37,33,2.4,1
TBBN2309024869,CJ7863-010,28,24,4,1
TBBN2309024869,DM9027-002,28,21.9,10.5,1
TBNK2309162236,CZ9071-010,40,31.5,1.4,1
TBNK2309162236,FN3436-011,35.2,24.2,13,1
TBNK2309162236,FB7959-084,30.5,23,1,1
TBNK2309162236,DD1914-010,28,22,0.6,1
TBBJ2309043243,DX9586-010,40,30,0.7,1
TBBJ2309043243,DC0774-101,30,21.4,11.6,1
TBBJ2309043243,DC0774-101,30.8,22.2,11.4,1
TBBJ2309043243,DX9586-010,39,30,0.6,1
TBBJ2309043243,DC0774-101,30,21.4,11.6,1
TBBJ2309043243,DX9586-464,39,30,0.6,1
TBBJ2309043243,DX9586-464,38,29,0.6,1
TBBJ2309056270,DX1488-100,34.1,29.4,3,1
TBBJ2309056270,DX9012-001,34.2,23.8,12.4,1
TBBJ2309056270,DZ3355-106,36.4,25.8,13,1
TBBJ2309056270,DM1814-012,31,24,1.4,1
TBBJ2309056270,DX9672-010,36,26,2.8,1
TBNK2309313123,DH4058-103,29,19.5,5.8,1
TBNK2309313123,FB7179-100,30,21,0.5,1
ODO1694002973657687,FQ9059-532,26.3,25,4,1
ODO1694002973657687,FQ9059-532,26.3,25,4,1
ODO1694002973657687,DV0788-101,33.4,20.8,11.4,1
ODO1694002973657687,DV0788-101,33.4,20.8,11.4,1
ODO1694011430301468,DR2695-002,33.4,20.3,14.6,1
ODO1694011430301468,BV2763-010,35,27,2,1
ODO1694280469527114,BV1094-001,20.8,14.6,2,1
ODO1694280469527114,FJ2372-010,33.2,28.1,4,1
ODO1694280469527114,BV1094-001,19.6,13.4,8,1
ODO1694280469527114,CN9678-008,33,12.7,11.7,1
ODO1694280469527114,DH0858-451,34,27,1.3,1
TBNK2309149941,DA5382-102,23.4,17.2,11.7,1
TBNK2309149941,AR5007-100,37,30,1.2,1
TBNK2309156359,DZ3376-010,6,4.8,2,1
TBNK2309156359,DV7881-010,59.7,39.7,5,1
TBNK2309156359,DD9291-100,33.2,21,11.4,1
TBNK2309197947,FN5211-010,32.5,26.5,1.2,1
TBNK2309197947,DH9765-001,28.4,21.8,10.4,1
TBBN2309053047,DX5080-100,30.9,22.9,8.9,1
TBBN2309053047,DX2515-400,26.4,20.1,12,1
TBNK2309308860,DM1119-100,30.1,18.9,10.6,1
TBNK2309308860,DD2795-011,28,24,5.2,1
TBNK2309308860,DM1119-100,33.6,20.6,11.4,1
TBNK2309342037,DA2123-100,25,25,8,1
TBNK2309342037,DM1122-006,38.8,24,12.8,1
ODO1694019349859763,DB0490-010,41.5,15,2,1
ODO1694019349859763,FB7173-131,33.4,20.2,11.4,1
ODO1694014550531784,DV5477-401,30.1,18.9,10.6,1
ODO1694014550531784,DN3592-010,49,40,5.9,1
ODO1694014550531784,DV5477-401,30.1,18.9,10.6,1
ODO1694011430964511,DJ6013-104,35.2,24.2,13,1
ODO1694011430964511,SX7678-100,30,28,5,1
ODO1694011430964511,DA3589-010,26.5,20,2,1
ODO1694012389782462,DD0431-100,38,20,1.8,1
ODO1694012389782462,DD1206-100,33,22,1.7,1
ODO1694012389782462,DD9682-100,33.2,20.8,11.1,1
TBNK2309280728,DD6285-010,38,28.5,2,1
TBNK2309280728,DM9027-100,27.6,21.8,10.4,1
TBNK2309280728,CK0509-010,27,24,3.2,1
TBNK2309280728,CK0509-113,27,24,3.2,1
TBNK2309280728,CK0509-010,28.6,25,3,1
ODO1694062071457903,FQ0779-321,26,24,1.6,1
ODO1694062071457903,HA5109-023,22.5,13.5,3.5,1
TBBN2309028398,DR0471-101,26.3,20.6,12,1
TBBN2309028398,DO9198-010,19.2,9.6,5.4,1
ODO1694008925836920,CV1273-262,26.8,11.2,1.2,1
ODO1694008925836920,SX7676-100,30.2,28,10,1
ODO1694008925836920,CT0535-101,36,24,13,1
TBNK2309147655,FB6929-010,28,20.5,4,1
TBNK2309147655,FJ1058-100,33.6,23.8,12,1
TBNK2309147655,DR6289-100,31.5,28,1.3,1
TBBJ2309045918,FB5138-031,35.1,31.8,5,1
TBBJ2309045918,DC0774-105,27.6,21.8,10.4,1
TBBJ2309051830,FJ7710-085,37,29,1,1
TBBJ2309051830,DZ4465-200,28,21.9,10.5,1
ODO1694278970129736,CU6776-010,35.5,28.5,2.8,1
ODO1694278970129736,FB3354-001,32.5,20.9,14,1
ODO1694278970129736,FB3354-001,33.2,20.8,11.5,1
TBBJ2309022488,DX9655-909,24.8,18.2,3.6,1
TBBJ2309022488,DZ4465-200,30.4,21.4,11,1
ODO1694002256728119,DV2436-100,35.2,24.6,13.4,1
ODO1694002256728119,FD2377-010,24,22.5,2.5,1
ODO1694002256728119,FD2377-010,24,22.5,2.5,1
ODO1694002256728119,DV4345-100,33.6,20.8,11.4,1
ODO1694002256728119,FD2377-010,26,21,1.6,1
ODO1694002256728119,FD2377-010,26,21,1.6,1
ODO1694012812072437,DV1296-010,50,39,4,1
ODO1694012812072437,DV5477-401,34.4,23.2,12.2,1
ODO1694012812072437,DV5477-401,33.5,20.8,11.7,1
ODO169400975185072,DD9682-100,30.5,21.8,11.5,1
ODO169400975185072,SX7676-100,29,20,9.5,1
ODO1694123449747248,DB0488-010,37,12,2,1
ODO1694123449747248,CZ2959-400,34,21,11.6,1
ODO1694123449747248,CZ2959-400,34,21,11.6,1
TBBJ2309019046,DX9655-100,57.2,39.1,8.6,1
TBBJ2309019046,DX9012-300,34.7,23.4,12.1,1
TBNK2309339981,DB0490-010,41.5,15,2,1
TBNK2309339981,DM3493-002,32.4,17.7,11.8,5
ODO1694008982216457,BV2667-010,26,13,0.5,1
ODO1694008982216457,DR2695-002,33.2,20.1,14.4,1
ODO1694265291873761,CD9054-200,28,22,10.6,1
ODO1694265291873761,FB7366-133,39,30,1.2,1
ODO1694265291873761,CD9054-200,28,22,10.6,1
ODO1694265291873761,CD9054-200,28,22,10.6,1
TBBJ2309040490,DX9632-100,26,13,0.5,1
TBBJ2309040490,DX9656-100,32,27.5,9.5,1
TBBJ2309040490,DX9655-010,17.8,10.9,12.4,2
TBBJ2309040490,DX9656-010,32,27.5,9.5,1
TBBJ2309040490,DX9655-100,57.2,39.1,8.6,2
TBBJ2309040490,DV5141-106,34.8,24.4,12.6,1
TBBJ2309040490,DH4287-011,10.4,7,3.3,1
ODO1694002033047511,HA5507-100,37.8,13.2,4.4,1
